                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84185,                 1.7314,                 1.3716,                0.91427,                0.81686,                0.87921,                0.56802,                0.92965,                 2.3839,                 1.6837,             0.00064865,             0.00064865,             0.00064865
                      2,                0.93707,                 1.3378,                 1.4366,                0.72425,                0.54765,                0.63186,                0.34114,                 1.5483,                 2.1538,                  2.391,              0.0013023,              0.0013023,              0.0013023
                      3,                 1.0137,                 1.2784,                 1.4706,                0.60263,                 0.5617,                0.59625,                0.31788,                 1.5094,                 2.5577,                  2.668,              0.0019427,              0.0019427,              0.0019427
                      4,                 1.0252,                 1.1533,                 1.4681,                0.75323,                0.58723,                0.62929,                0.24627,                 2.0062,                 1.8941,                 3.9513,              0.0019406,              0.0019406,              0.0019406
                      5,                0.98368,                 1.0307,                 1.4354,                0.76385,                0.65532,                0.72445,                0.43443,                 1.3445,                 1.9237,                 2.1892,              0.0019208,              0.0019208,              0.0019208
                      6,                 0.9618,                 1.0119,                 1.4403,                0.80604,                0.77872,                0.83029,                 0.5259,                 1.2554,                 1.1438,                 1.9932,               0.001901,               0.001901,               0.001901
                      7,                0.91505,                0.93552,                 1.4088,                 0.7673,                0.74894,                0.76952,                0.41826,                 1.3897,                 1.3871,                 2.0482,              0.0018812,              0.0018812,              0.0018812
                      8,                0.94175,                0.93196,                 1.4051,                0.78763,                0.82553,                0.81835,                0.46773,                 1.3571,                 1.1501,                 2.1671,              0.0018614,              0.0018614,              0.0018614
                      9,                0.92385,                0.84002,                 1.3881,                0.78093,                0.81702,                0.80514,                0.52513,                 1.0939,                 1.2035,                 1.7991,              0.0018416,              0.0018416,              0.0018416
                     10,                0.92643,                0.86647,                 1.4101,                0.78312,                0.73752,                0.77842,                0.44258,                 1.4635,                 1.2631,                 2.2587,              0.0018218,              0.0018218,              0.0018218
                     11,                0.83805,                0.77553,                 1.3363,                0.90119,                0.84255,                0.89038,                0.67247,                0.89715,                  0.737,                 1.5749,               0.001802,               0.001802,               0.001802
                     12,                0.82012,                0.73385,                 1.3144,                0.89846,                0.89787,                0.91865,                0.65348,                0.96743,                0.75237,                 1.6425,              0.0017822,              0.0017822,              0.0017822
                     13,                0.84182,                0.71842,                 1.3513,                0.86905,                0.85957,                0.88031,                0.59655,                 1.0676,                0.82462,                 1.7011,              0.0017624,              0.0017624,              0.0017624
                     14,                0.83882,                0.70021,                 1.3346,                0.92603,                0.86809,                0.91159,                 0.6176,                 1.0161,                0.71431,                 1.7469,              0.0017426,              0.0017426,              0.0017426
                     15,                0.82255,                0.71299,                 1.3345,                0.96693,                0.87107,                0.91594,                0.67794,                0.89603,                0.69805,                 1.5673,              0.0017228,              0.0017228,              0.0017228
                     16,                0.82361,                0.71935,                 1.3208,                0.93469,                0.82128,                0.89532,                 0.6506,                0.94735,                 0.7629,                 1.5527,               0.001703,               0.001703,               0.001703
                     17,                0.81153,                0.72763,                 1.3289,                0.92696,                0.88085,                0.89671,                0.66698,                0.88166,                0.70939,                 1.5214,              0.0016832,              0.0016832,              0.0016832
                     18,                0.77018,                0.64397,                   1.29,                0.86413,                0.86601,                0.89527,                0.67689,                 0.8316,                0.81944,                 1.5028,              0.0016634,              0.0016634,              0.0016634
                     19,                0.76572,                0.63776,                 1.2828,                0.90763,                0.87807,                0.88488,                0.66814,                0.80532,                0.67867,                 1.5132,              0.0016436,              0.0016436,              0.0016436
                     20,                 0.7879,                0.66755,                 1.3106,                0.91863,                0.89362,                0.92118,                0.71282,                0.75954,                0.63967,                 1.4515,              0.0016238,              0.0016238,              0.0016238
                     21,                  0.761,                0.62726,                 1.2755,                0.93373,                0.83933,                 0.9113,                0.65208,                0.89749,                0.73465,                 1.5463,               0.001604,               0.001604,               0.001604
                     22,                0.76848,                0.61753,                 1.2972,                0.93332,                0.88085,                0.89007,                0.70664,                0.77057,                0.60035,                 1.4438,              0.0015842,              0.0015842,              0.0015842
                     23,                0.73565,                0.61409,                 1.2514,                 0.8652,                0.87402,                0.88431,                0.65411,                0.89146,                0.76637,                 1.5961,              0.0015644,              0.0015644,              0.0015644
                     24,                0.75383,                0.62841,                  1.278,                0.91764,                0.90213,                0.91555,                0.72254,                0.77741,                0.59051,                 1.4535,              0.0015446,              0.0015446,              0.0015446
                     25,                0.72487,                0.61951,                 1.2637,                0.96188,                0.91064,                0.93446,                0.74245,                0.69541,                0.51475,                  1.364,              0.0015248,              0.0015248,              0.0015248
                     26,                0.72216,                0.59907,                 1.2659,                0.92419,                0.92766,                0.93252,                0.75742,                0.67688,                 0.5233,                 1.3533,               0.001505,               0.001505,               0.001505
                     27,                0.71118,                0.58253,                 1.2493,                0.96777,                0.91064,                0.93893,                0.75645,                 0.6682,                0.50456,                 1.3117,              0.0014852,              0.0014852,              0.0014852
                     28,                0.71145,                 0.6118,                 1.2597,                0.92677,                0.91547,                0.92821,                0.74279,                0.69253,                 0.5735,                 1.3961,              0.0014654,              0.0014654,              0.0014654
                     29,                0.73581,                0.61207,                 1.2863,                0.95408,                0.88418,                0.91674,                0.73778,                0.69325,                 0.5254,                 1.3645,              0.0014456,              0.0014456,              0.0014456
