                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3289,                 2.9534,                 1.5723,                0.00511,                0.82143,                0.04555,                0.01648,                 1.4324,                 2.9891,                 1.8777,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.4527,                 2.9943,                 1.6742,                0.00489,                0.78571,                0.03054,                0.01247,                 1.9545,                 3.1548,                   2.15,             0.00013861,             0.00013861,             0.00013861
                      3,                  1.407,                 2.8387,                 1.6189,                0.00578,                0.92857,                0.11446,                0.03762,                 1.7635,                  3.176,                 2.1307,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.3429,                 2.4215,                 1.5104,                0.00622,                      1,                0.14648,                0.07976,                 1.1786,                 2.9943,                 1.6942,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.2571,                 2.1378,                 1.4049,                  0.006,                0.96429,                0.28034,                0.10652,                 1.2293,                 2.9793,                 1.7458,             0.00036495,             0.00036495,             0.00036495
                      6,                 1.1375,                  1.961,                 1.3461,                0.00556,                0.89286,                0.24758,                0.12414,                 1.2453,                 2.9697,                 1.7921,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.2215,                 1.9529,                  1.401,                0.00556,                0.89286,                0.15189,                0.08004,                 1.5241,                 3.0265,                 2.0566,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.1362,                 1.8662,                 1.3604,                0.00846,                0.92857,                0.22867,                0.12142,                 1.7536,                 2.9901,                 2.1772,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.1686,                  1.826,                 1.2978,                0.32938,                0.42857,                0.23468,                0.08447,                 1.7631,                 2.8247,                 2.0898,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.1515,                  1.775,                   1.33,                 0.3291,                0.22818,                0.22242,                0.11308,                 1.4445,                 2.7538,                 1.8528,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.2014,                 1.8329,                 1.3994,                0.28245,                0.17857,                0.23159,                0.09562,                 1.4391,                  2.763,                 1.8877,             0.00077486,             0.00077486,             0.00077486
