                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9243,                  2.836,                 2.0017,                   0.01,                0.39474,                0.12811,                0.07969,                 1.9328,                 3.2058,                 1.9446,                0.00018,                0.00018,                0.00018
                      2,                 1.8371,                 2.3856,                 1.9456,                0.01533,                0.60526,                0.15072,                0.08177,                 2.2098,                 2.9976,                 1.9445,             0.00035649,             0.00035649,             0.00035649
                      3,                 1.6592,                 2.1367,                 1.8077,                0.01533,                0.60526,                0.14391,                0.06118,                 2.3599,                  2.848,                 2.0269,             0.00050822,             0.00050822,             0.00050822
                      4,                 1.6259,                 2.0264,                 1.7596,                0.50346,                0.10526,                0.11041,                0.04028,                 2.1991,                 2.7718,                 2.1012,             0.00063521,             0.00063521,             0.00063521
                      5,                 1.6551,                 1.9607,                 1.7561,                0.16488,                0.10526,                0.06231,                0.02403,                 2.1975,                 2.7428,                 2.0848,             0.00073745,             0.00073745,             0.00073745
                      6,                 1.6392,                 1.8498,                 1.7132,                 0.3628,                0.18421,                0.15942,                0.04397,                   2.33,                 2.8726,                 2.1343,             0.00081494,             0.00081494,             0.00081494
                      7,                 1.7648,                 2.1946,                 1.9147,                0.72557,                0.13989,                 0.2049,                0.10425,                 2.1633,                 2.8037,                 1.9528,             0.00086768,             0.00086768,             0.00086768
                      8,                  1.693,                  2.071,                 1.8103,                0.65235,                0.13158,                0.21248,                0.09724,                  2.045,                 2.6685,                 2.0384,             0.00089566,             0.00089566,             0.00089566
                      9,                 1.6701,                  2.062,                 1.8051,                0.63067,                0.18421,                0.26411,                0.11839,                 1.9264,                  2.331,                 1.9385,              0.0008989,              0.0008989,              0.0008989
                     10,                  1.636,                 1.9399,                  1.773,                0.30672,                0.18421,                0.20322,                0.11313,                 2.0776,                 2.3243,                 1.9682,             0.00087739,             0.00087739,             0.00087739
                     11,                 1.5777,                 1.9198,                 1.7744,                0.51595,                0.42105,                0.45889,                0.20515,                 1.8309,                 1.8834,                 1.8833,              0.0007625,              0.0007625,              0.0007625
                     12,                 1.5138,                 1.7453,                 1.6922,                0.46733,                0.44737,                  0.415,                0.20609,                 1.8968,                 1.8961,                 1.8909,             0.00063875,             0.00063875,             0.00063875
                     13,                  1.531,                 1.6964,                 1.6609,                0.45421,                0.42105,                 0.4132,                0.20577,                 1.8614,                 1.8641,                   1.88,               0.000515,               0.000515,               0.000515
                     14,                 1.4698,                 1.6803,                 1.6038,                0.52481,                    0.5,                0.55085,                0.26163,                  1.863,                 1.7172,                 1.7727,             0.00039125,             0.00039125,             0.00039125
                     15,                 1.4617,                 1.6278,                 1.6072,                0.73318,                0.43417,                0.57934,                0.30575,                 1.7512,                 1.6741,                 1.6997,              0.0002675,              0.0002675,              0.0002675
                     16,                 1.3946,                 1.5793,                 1.5721,                0.73705,                0.42105,                0.56363,                0.27784,                 1.7655,                 1.7028,                 1.6832,             0.00014375,             0.00014375,             0.00014375
